car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude
"truck","Toyota Tundra",16.36,68160.0,339,20.72,3.66,85,2014-07-07,2014-07-07 23:06:53,"","",0,0,,
"truck","Toyota Tundra",17.8,67821.0,343,19.27,3.92,50,2014-06-20,2014-06-20 21:17:55,"","",0,0,,
"truck","Toyota Tundra",16.86,67478.0,286,16.96,3.98,60,2014-06-14,2014-06-14 15:27:44,"","",0,0,,
"truck","Toyota Tundra",17.17,67192.0,223,12.99,3.92,35,2014-06-07,2014-06-07 05:42:55,"","",0,0,,
"truck","Toyota Tundra",16.29,66969.0,299,18.35,3.96,100,2014-06-05,2014-06-04 18:38:06,"","",0,0,,
"truck","Toyota Tundra",16,66670.0,306,19.13,3.86,100,2014-05-22,2014-05-21 17:02:03,"","",0,0,,
"truck","Toyota Tundra",16.55,66364.0,278,16.8,3.88,85,2014-05-11,2014-05-11 15:16:50,"","",0,0,,
"truck","Toyota Tundra",16.59,66086.0,283,17.06,4,70,2014-05-02,2014-05-02 06:41:51,"","",0,0,,
"truck","Toyota Tundra",16.75,65803.0,321,19.17,4,60,2014-04-23,2014-04-23 07:13:57,"","",0,0,,
"truck","Toyota Tundra",17.08,65482.0,206,12.06,3.96,35,2014-04-14,2014-04-14 11:06:36,"","",0,0,,
"truck","Toyota Tundra",16.63,65276.0,283,17.02,3.9,60,2014-04-10,2014-04-10 08:01:40,"","",0,0,,
"truck","Toyota Tundra",16.61,64993.0,271,16.32,3.76,50,2014-04-04,2014-04-04 08:33:46,"","",0,0,,
"truck","Toyota Tundra",15.98,64722.0,298,18.65,3.67,55,2014-03-27,2014-03-27 05:29:46,"","",0,0,,
"truck","Toyota Tundra",17.26,64424.0,325,18.83,3.82,30,2014-03-18,2014-03-18 14:57:31,"","",0,0,,
"truck","Toyota Tundra",15.88,64099.0,310,19.52,3.66,50,2014-03-10,2014-03-10 05:43:27,"","",0,0,,
"truck","Toyota Tundra",14.82,63789.0,226,15.25,3.8,65,2014-03-04,2014-03-04 04:35:09,"","",0,0,,
"truck","Toyota Tundra",14.81,63563.0,290,19.58,3.7,75,2014-02-26,2014-02-26 10:33:35,"","",0,0,,
"truck","Toyota Tundra",14.19,63273.0,241,16.98,3.46,100,2014-02-19,2014-02-19 11:06:46,"","",0,0,,
"truck","Toyota Tundra",15.82,63032.0,288,18.21,3.4,25,2014-02-07,2014-02-07 15:18:40,"","",0,0,,
